name,desc,origin
Battalion Vantage,"When foe initiates combat, unit still attacks first if battalion endurance is ≤ 1/3.","Raise Authority skill level to C for protagonist, Edelgard, Felix, Sylvain, Lorenz or Catherine. Raise to A for Dimitri or Ignatz."
Battalion Wrath,"If foe initiates combat while unit’s battalion endurance is ≤ 1/3, grants Crit +50.","Raise Authority skill level to C for Hubert, Bernadetta, Caspar, Petra, Dimitri, Dedue, Hilda, Raphael, Seteth, Alois or Gibert. Raise to A for Annette or Claude."
Battalion Renewal,Unit recovers up to 30% of max HP at the start of each turn while battalion endurance is ≤ 1/3.,"Raise Authority skill level to C for Linhardt, Mercedes, Annette, Marianne, Manuela or Flayn. Raise to A for Edelgard."
Black Magic Uses Up+,Quadruples the number of uses for black magic.,
Dark Magic Uses x4,Quadruples the number of uses for dark magic.,
White Magic Uses Up+,Quadruples the number of uses for white magic.,
Mighty King of Legend,Negates 1 attack per turn and strengthens stats while the 10 Elites are present.,Enemy
10 Elites,Grants power to the Mighty King of Legend.,Enemy
Alert Stance,"If unit takes no action except Wait, grants Avo +15 for 1 turn.",Raise Flying skill level to B
Alert Stance+,"If unit takes no action except Wait, grants Avo +30 for 1 turn.",Raise Flying skill level to A+
Close Counter,Allows unit to counterattack adjacent foes.,Raise Bow skill level to C
Professor’s Guidance+,Unit deals 2 extra damage during combat. Multiplies this unit’s and adjacent allies’ experience earned by 1.2.,Personal: Protagonist (halfway through Chapter 10’s story mission)
Imperial Lineage+,"If unit takes no action except Wait, grants Res +4 for 1 turn. Multiplies experience earned by 1.2.",Personal: Edelgard (from Part 2)
Royal Lineage+,Grants Avo +20 while unit is at full HP. Multiplies experience earned by 1.2.,Personal: Dimitri (from Part 2)
Leicester Lineage+,Allows unit to pass through spaces occupied by foes. Multiplies experience earned by 1.2.,Personal: Claude (from Part 2)
Murderous Intent,"If unit initiates combat, grants Hit +20 during combat.",
Sacred Power,Adjacent allies deal 3 extra damage and take 3 less damage during combat.,"Personal: Rhea, Class mastered: Enlightened One"
Agarthan Technology,Adjacent foes deal 3 less damage during combat.,Enemy
Blade Breaker,"If unit damages foe, foe suffers Str/Def -6 for 1 turn after combat.",Personal: Jeralt
